git_commit,timestamp,mode,rx_size,value_size,clients,pipeline,threads,repetition,duration,rps,payload_gbps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,exit_status,server_error,bench_error,verify_strlen,raw_file
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T13:07:47+08:00,smoke,65536,65535,1,1,1,1,2,6984.50,3.6618,0.140,0.127,0.239,0.535,0,none,,ok,smoke-rx65536-d65535-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T13:07:50+08:00,smoke,65536,65536,1,1,1,1,2,7317.00,3.8362,0.133,0.119,0.223,0.487,0,none,,ok,smoke-rx65536-d65536-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T13:07:54+08:00,smoke,65536,65537,1,1,1,1,2,7737.00,4.0565,0.126,0.119,0.183,0.439,0,none,,ok,smoke-rx65536-d65537-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T13:07:57+08:00,smoke,1048576,1048575,1,1,1,1,2,688.16,5.7727,1.448,1.351,2.031,2.503,0,none,,ok,smoke-rx1048576-d1048575-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T13:08:00+08:00,smoke,1048576,1048576,1,1,1,1,2,670.66,5.6259,1.485,1.407,2.071,2.487,0,none,,ok,smoke-rx1048576-d1048576-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T13:08:03+08:00,smoke,1048576,1048577,1,1,1,1,2,683.66,5.7350,1.458,1.287,2.391,3.343,0,none,,ok,smoke-rx1048576-d1048577-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T13:08:07+08:00,smoke,4194304,4194303,1,1,1,1,2,177.64,5.9606,5.634,5.391,7.135,8.319,0,none,,ok,smoke-rx4194304-d4194303-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T13:08:10+08:00,smoke,4194304,4194304,1,1,1,1,2,168.42,5.6512,5.945,5.559,7.935,10.871,0,none,,ok,smoke-rx4194304-d4194304-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-27T13:08:13+08:00,smoke,4194304,4194305,1,1,1,1,2,180.41,6.0536,5.551,5.295,6.959,10.175,0,none,,ok,smoke-rx4194304-d4194305-c1-P1-r1
