commit,run_id,phase_index,value_size,duration,clients,pipeline,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
7bf7daa53046cd3853574786c896da70c8b23296,20260828-180116,0,32,2.251000,2,2,338064,150183.918,0.038447,21.224,23.000,111.000,0,0,25354500,24,411000,24,1016.379884,0.000091
7bf7daa53046cd3853574786c896da70c8b23296,20260828-180116,1,64,2.251000,2,2,373466,165911.151,0.084947,19.000,23.000,63.000,0,0,39960862,37,633000,38,1021.053783,0.000141
7bf7daa53046cd3853574786c896da70c8b23296,20260828-180116,2,32,2.251000,2,2,379948,168790.760,0.043210,18.513,23.000,55.000,0,0,28496100,26,555000,26,979.688007,0.000123
