git_commit,timestamp,mode,rx_size,value_size,clients,pipeline,threads,repetition,duration,rps,payload_gbps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,exit_status,server_error,bench_error,verify_strlen,raw_file
2d7465b7bc349d077228778299d7501be0a3b72c,2026-08-27T14:19:59+08:00,smoke,65536,65535,1,1,1,1,2,6946.50,3.6419,0.141,0.127,0.231,0.487,0,none,,ok,smoke-rx65536-d65535-c1-P1-r1
2d7465b7bc349d077228778299d7501be0a3b72c,2026-08-27T14:20:02+08:00,smoke,65536,65536,1,1,1,1,2,7614.00,3.9919,0.128,0.119,0.183,0.439,0,none,,ok,smoke-rx65536-d65536-c1-P1-r1
2d7465b7bc349d077228778299d7501be0a3b72c,2026-08-27T14:20:05+08:00,smoke,65536,65537,1,1,1,1,2,6185.50,3.2430,0.158,0.135,0.319,0.583,0,none,,ok,smoke-rx65536-d65537-c1-P1-r1
2d7465b7bc349d077228778299d7501be0a3b72c,2026-08-27T14:20:09+08:00,smoke,1048576,1048575,1,1,1,1,2,695.65,5.8355,1.433,1.335,2.111,2.583,0,none,,ok,smoke-rx1048576-d1048575-c1-P1-r1
2d7465b7bc349d077228778299d7501be0a3b72c,2026-08-27T14:20:12+08:00,smoke,1048576,1048576,1,1,1,1,2,698.65,5.8607,1.426,1.343,2.015,2.399,0,none,,ok,smoke-rx1048576-d1048576-c1-P1-r1
2d7465b7bc349d077228778299d7501be0a3b72c,2026-08-27T14:20:15+08:00,smoke,1048576,1048577,1,1,1,1,2,680.00,5.7043,1.465,1.311,2.543,3.351,0,none,,ok,smoke-rx1048576-d1048577-c1-P1-r1
2d7465b7bc349d077228778299d7501be0a3b72c,2026-08-27T14:20:19+08:00,smoke,4194304,4194303,1,1,1,1,2,189.12,6.3458,5.293,5.071,6.735,8.479,0,none,,ok,smoke-rx4194304-d4194303-c1-P1-r1
2d7465b7bc349d077228778299d7501be0a3b72c,2026-08-27T14:20:22+08:00,smoke,4194304,4194304,1,1,1,1,2,189.31,6.3522,5.284,5.111,6.527,7.991,0,none,,ok,smoke-rx4194304-d4194304-c1-P1-r1
2d7465b7bc349d077228778299d7501be0a3b72c,2026-08-27T14:20:25+08:00,smoke,4194304,4194305,1,1,1,1,2,181.91,6.1039,5.502,5.271,6.919,9.223,0,none,,ok,smoke-rx4194304-d4194305-c1-P1-r1
