git_commit,timestamp,mode,rx_size,value_size,clients,pipeline,threads,repetition,duration,rps,payload_gbps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,exit_status,server_error,bench_error,verify_strlen,raw_file
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:28:18+08:00,full,65536,65536,1,1,1,1,5,6906.00,3.6207,0.141,0.127,0.231,0.495,0,none,,ok,full-rx65536-d65536-c1-P1-r1
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:28:25+08:00,full,65536,65536,1,1,1,2,5,7393.20,3.8762,0.132,0.119,0.199,0.455,0,none,,ok,full-rx65536-d65536-c1-P1-r2
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:28:32+08:00,full,65536,65536,1,1,1,3,5,7375.40,3.8668,0.132,0.119,0.199,0.471,0,none,,ok,full-rx65536-d65536-c1-P1-r3
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:28:39+08:00,full,65536,65536,1,16,1,1,5,8722.91,4.5733,1.773,1.639,2.663,3.535,0,none,,ok,full-rx65536-d65536-c1-P16-r1
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:28:46+08:00,full,65536,65536,1,16,1,2,5,8795.04,4.6111,1.758,1.647,2.639,3.551,0,none,,ok,full-rx65536-d65536-c1-P16-r2
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:28:53+08:00,full,65536,65536,1,16,1,3,5,8579.20,4.4980,1.804,1.679,2.743,3.647,0,none,,ok,full-rx65536-d65536-c1-P16-r3
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:29:00+08:00,full,65536,65536,4,1,1,1,5,9995.20,5.2404,0.396,0.359,0.751,1.135,0,none,,ok,full-rx65536-d65536-c4-P1-r1
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:29:08+08:00,full,65536,65536,4,1,1,2,5,9630.40,5.0491,0.412,0.359,0.831,1.143,0,none,,ok,full-rx65536-d65536-c4-P1-r2
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:29:15+08:00,full,65536,65536,4,1,1,3,5,9932.80,5.2076,0.399,0.359,0.751,1.191,0,none,,ok,full-rx65536-d65536-c4-P1-r3
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:29:22+08:00,full,65536,65536,4,16,1,1,5,8791.84,4.6095,7.275,6.591,11.423,15.591,0,none,,ok,full-rx65536-d65536-c4-P16-r1
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:29:29+08:00,full,65536,65536,4,16,1,2,5,8267.15,4.3344,7.738,6.951,12.823,15.983,0,none,,ok,full-rx65536-d65536-c4-P16-r2
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:29:36+08:00,full,65536,65536,4,16,1,3,5,8409.60,4.4091,7.606,6.879,12.655,16.671,0,none,,ok,full-rx65536-d65536-c4-P16-r3
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:29:43+08:00,full,65536,262144,1,1,1,1,5,2070.39,4.3419,0.479,0.415,0.911,1.351,0,none,,ok,full-rx65536-d262144-c1-P1-r1
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:29:51+08:00,full,65536,262144,1,1,1,2,5,2247.60,4.7136,0.442,0.399,0.743,1.087,0,none,,ok,full-rx65536-d262144-c1-P1-r2
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:29:58+08:00,full,65536,262144,1,1,1,3,5,2149.00,4.5068,0.462,0.407,0.855,1.175,0,none,,ok,full-rx65536-d262144-c1-P1-r3
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:30:05+08:00,full,65536,262144,1,16,1,1,5,2126.72,4.4601,7.480,6.999,11.055,14.359,0,none,,ok,full-rx65536-d262144-c1-P16-r1
9ab2c530f66c777081705101cc375be449cb55e4,2026-08-27T15:30:12+08:00,full,65536,262144,1,16,1,2,5,2120.33,4.4467,7.489,6.911,12.223,16.103,0,none,,ok,full-rx65536-d262144-c1-P16-r2
