commit,run_id,rx_size,repeat,phase_index,value_size,duration,clients,pipeline,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,2,0,4096,20.257000,4,16,5694992,281136.990,9.212297,219.284,183.000,671.000,0,0,23582696848,5620,652195000,5620,255.883756,0.008049
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,2,1,65536,20.306000,4,16,461840,22744.017,11.924415,2568.177,2455.000,5071.000,0,0,30288390880,7222,7002914000,7222,256.024280,0.086217
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,2,2,1048576,30.484000,4,16,20048,657.656,5.516822,95653.906,92415.000,162815.000,0,0,21022813952,5012,20806859000,5012,255.988282,0.170638
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,2,3,4194304,30.313000,4,16,4896,161.515,5.419539,390253.699,390399.000,444927.000,0,0,20535547392,4896,20840670000,4896,255.997070,0.171879
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,2,4,65536,30.336000,4,16,682736,22505.802,11.799522,2617.377,2479.000,5295.000,0,0,44775192352,10676,10294916000,10677,256.042260,0.084841
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,2,5,4096,60.269000,4,16,17540768,291041.298,9.536841,213.541,183.000,655.000,0,0,72636320288,17312,1958371000,17317,255.987460,0.008123
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,3,0,4096,20.260000,4,16,5662160,279474.827,9.157831,220.431,183.000,671.000,0,0,23446739536,5588,655402000,5588,255.902076,0.008087
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,3,1,65536,20.312000,4,16,459136,22604.175,11.851098,2595.883,2463.000,5175.000,0,0,30111057152,7179,6952583000,7179,255.998735,0.085572
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,3,2,1048576,30.421000,4,16,21760,715.295,6.000332,88167.371,87743.000,113855.000,0,0,22818058240,5441,21283097000,5441,256.035338,0.174905
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,3,3,4194304,30.262000,4,16,4864,160.730,5.393191,392891.053,394495.000,450815.000,0,0,20401328128,4864,20991777000,4864,255.997070,0.173417
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,3,4,65536,30.343000,4,16,655600,21606.301,11.327924,2726.957,2575.000,5519.000,0,0,42995559200,10251,10394358000,10251,256.001495,0.085640
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,4194304,3,5,4096,60.278000,4,16,17432144,289195.793,9.476368,214.788,183.000,647.000,0,0,72186508304,17206,1979787000,17210,255.991005,0.008211
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,16777216,1,0,4096,20.260000,4,16,5698896,281288.055,9.217247,219.937,183.000,671.000,0,0,23598863312,1405,168666000,1405,63.927116,0.002081
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,16777216,1,1,65536,20.300000,4,16,505952,24923.744,13.067220,2474.375,2423.000,4135.000,0,0,33181344064,1977,1949371000,1977,63.975335,0.024007
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,16777216,1,2,1048576,30.481000,4,16,29856,979.495,8.216603,64278.435,63871.000,74175.000,0,0,31307718144,1866,16278894000,1866,63.997070,0.133517
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,16777216,1,3,4194304,30.295000,4,16,5040,166.364,5.582252,379631.848,380927.000,397311.000,0,0,21139534080,1260,19700572000,1260,63.999268,0.162573
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,16777216,1,4,65536,30.313000,4,16,758992,25038.498,13.127384,2475.790,2415.000,4319.000,0,0,49776213344,2967,2936344000,2967,64.002297,0.024217
7bf7daa53046cd3853574786c896da70c8b23296,20260828-183856,16777216,1,5,4096,60.278000,4,16,17529744,290814.957,9.529425,214.399,183.000,663.000,0,0,72590669904,4326,500050000,4327,64.003830,0.002074
