phase_index,value_size,duration,measured_sec,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
0,4096,20,20.260000,5662160,279474.827,9.157831,220.431,183.000,671.000,0,0,23446739536,5588,655402000,5588,255.902076,0.008087
1,65536,20,20.312000,459136,22604.175,11.851098,2595.883,2463.000,5175.000,0,0,30111057152,7179,6952583000,7179,255.998735,0.085572
2,1048576,30,30.421000,21760,715.295,6.000332,88167.371,87743.000,113855.000,0,0,22818058240,5441,21283097000,5441,256.035338,0.174905
3,4194304,30,30.262000,4864,160.730,5.393191,392891.053,394495.000,450815.000,0,0,20401328128,4864,20991777000,4864,255.997070,0.173417
4,65536,30,30.343000,655600,21606.301,11.327924,2726.957,2575.000,5519.000,0,0,42995559200,10251,10394358000,10251,256.001495,0.085640
5,4096,60,60.278000,17432144,289195.793,9.476368,214.788,183.000,647.000,0,0,72186508304,17206,1979787000,17210,255.991005,0.008211
