phase_index,value_size,duration,measured_sec,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
0,4096,20,20.256000,5559328,274453.397,8.993289,224.553,191.000,671.000,0,0,23020912224,5487,663613000,5487,255.924758,0.008190
1,65536,20,20.313000,459376,22614.877,11.856709,2601.132,2463.000,5311.000,0,0,30126796832,7183,6768732000,7183,256.007553,0.083305
2,1048576,30,30.313000,19792,652.921,5.477100,96942.752,95615.000,124799.000,0,0,20754366208,4948,20416630000,4948,255.988282,0.168382
3,4194304,30,30.279000,4912,162.225,5.443356,389267.075,388095.000,479231.000,0,0,20602657024,4912,20885455000,4912,255.997070,0.172442
4,65536,30,30.335000,686160,22619.417,11.859089,2611.010,2471.000,5319.000,0,0,44999745120,10728,10301222000,10728,255.981501,0.084896
5,4096,60,60.271000,17444160,289428.747,9.484001,214.744,183.000,655.000,0,0,72236266560,17218,1976688000,17222,255.993043,0.008199
