phase_index,value_size,duration,measured_sec,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
0,4096,20,20.257000,5694992,281136.990,9.212297,219.284,183.000,671.000,0,0,23582696848,5620,652195000,5620,255.883756,0.008049
1,65536,20,20.306000,461840,22744.017,11.924415,2568.177,2455.000,5071.000,0,0,30288390880,7222,7002914000,7222,256.024280,0.086217
2,1048576,30,30.484000,20048,657.656,5.516822,95653.906,92415.000,162815.000,0,0,21022813952,5012,20806859000,5012,255.988282,0.170638
3,4194304,30,30.313000,4896,161.515,5.419539,390253.699,390399.000,444927.000,0,0,20535547392,4896,20840670000,4896,255.997070,0.171879
4,65536,30,30.336000,682736,22505.802,11.799522,2617.377,2479.000,5295.000,0,0,44775192352,10676,10294916000,10677,256.042260,0.084841
5,4096,60,60.269000,17540768,291041.298,9.536841,213.541,183.000,655.000,0,0,72636320288,17312,1958371000,17317,255.987460,0.008123
