phase_index,value_size,duration,measured_sec,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
0,4096,20,20.260000,5698896,281288.055,9.217247,219.937,183.000,671.000,0,0,23598863312,1405,168666000,1405,63.927116,0.002081
1,65536,20,20.300000,505952,24923.744,13.067220,2474.375,2423.000,4135.000,0,0,33181344064,1977,1949371000,1977,63.975335,0.024007
2,1048576,30,30.481000,29856,979.495,8.216603,64278.435,63871.000,74175.000,0,0,31307718144,1866,16278894000,1866,63.997070,0.133517
3,4194304,30,30.295000,5040,166.364,5.582252,379631.848,380927.000,397311.000,0,0,21139534080,1260,19700572000,1260,63.999268,0.162573
4,65536,30,30.313000,758992,25038.498,13.127384,2475.790,2415.000,4319.000,0,0,49776213344,2967,2936344000,2967,64.002297,0.024217
5,4096,60,60.278000,17529744,290814.957,9.529425,214.399,183.000,663.000,0,0,72590669904,4326,500050000,4327,64.003830,0.002074
