phase_index,value_size,duration,measured_sec,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
0,4096,20,20.256000,5134912,253500.790,8.306714,239.913,207.000,703.000,0,0,21263405568,20273,2488646000,20277,1023.931133,0.030715
1,65536,20,20.408000,335760,16452.372,8.625781,3783.006,3679.000,7375.000,0,0,22019812320,20999,17028531000,20999,1023.964430,0.208601
2,1048576,30,30.317000,18528,611.142,5.126633,103537.306,101183.000,138367.000,0,0,19428905472,18530,22017867000,18530,1024.063657,0.181564
3,4194304,30,30.362000,4512,148.607,4.986417,424127.887,419327.000,532479.000,0,0,18924916224,18048,21289151000,18048,1023.988281,0.175294
4,65536,30,30.264000,484256,16001.057,8.389162,3938.622,3863.000,7447.000,0,0,31758476992,30284,25575336000,30286,1023.957946,0.211269
5,4096,60,60.271000,16391600,271964.958,8.911748,225.540,191.000,671.000,0,0,67877615600,64720,7409810000,64735,1024.029444,0.030735
