phase_index,value_size,duration,measured_sec,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
0,4096,20,20.258000,4234112,209009.379,6.848819,290.379,263.000,759.000,0,0,17533192768,16714,2476997000,16718,1023.818996,0.030568
1,65536,20,20.430000,278992,13655.996,7.159675,4536.428,4415.000,8063.000,0,0,18296853344,17451,16743058000,17451,1024.103337,0.204883
2,1048576,30,30.257000,17696,584.856,4.906131,108318.662,105855.000,148735.000,0,0,18556450304,17697,22418920000,17697,1024.010991,0.185237
3,4194304,30,30.282000,4400,145.301,4.875487,434595.491,436735.000,512767.000,0,0,18455148800,17600,21530541000,17600,1023.988281,0.177750
4,65536,30,30.489000,499712,16389.911,8.593034,3815.386,3775.000,6743.000,0,0,32772112384,31252,25484073000,31253,1023.969796,0.208961
5,4096,60,60.272000,15370048,255011.415,8.356214,240.355,207.000,703.000,0,0,63647368768,60686,7483343000,60699,1024.002347,0.031040
