phase_index,value_size,duration,measured_sec,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
0,4096,20,20.260000,5562400,274550.839,8.996482,221.652,191.000,663.000,0,0,23033633376,21961,2476341000,21965,1023.926134,0.030557
1,65536,20,20.406000,348912,17098.500,8.964539,3661.572,3615.000,5823.000,0,0,22882346784,21823,17142719000,21823,1024.032546,0.210021
2,1048576,30,30.476000,19296,633.154,5.311280,99404.119,96831.000,153215.000,0,0,20234248704,19296,22828204000,19296,1023.953127,0.187264
3,4194304,30,30.305000,4480,147.830,4.960365,426664.800,425215.000,516607.000,0,0,18790696960,17920,21293814000,17920,1023.988281,0.175663
4,65536,30,30.497000,514720,16877.726,8.848789,3723.204,3663.000,6343.000,0,0,33756367040,32192,25684736000,32192,1023.981543,0.210551
5,4096,60,60.278000,17785232,295053.452,9.668312,207.983,183.000,623.000,0,0,73648645712,70221,7374746000,70237,1024.002597,0.030586
