git_commit,timestamp,mode,rx_size,value_size,clients,pipeline,threads,repetition,duration,rps,payload_gbps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,exit_status,server_error,bench_error,verify_strlen,raw_file
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:57:12+08:00,full,65536,65536,1,1,1,1,5,7848.20,4.1147,0.125,0.111,0.183,0.439,0,none,,ok,full-rx65536-d65536-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:57:20+08:00,full,65536,65536,1,1,1,2,5,8681.60,4.5517,0.113,0.103,0.151,0.351,0,none,,ok,full-rx65536-d65536-c1-P1-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:57:27+08:00,full,65536,65536,1,1,1,3,5,8634.20,4.5268,0.113,0.103,0.151,0.351,0,none,,ok,full-rx65536-d65536-c1-P1-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:57:34+08:00,full,65536,65536,1,16,1,1,5,10185.60,5.3402,1.520,1.407,2.167,2.959,0,none,,ok,full-rx65536-d65536-c1-P16-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:57:41+08:00,full,65536,65536,1,16,1,2,5,10474.71,5.4918,1.477,1.391,1.935,2.655,0,none,,ok,full-rx65536-d65536-c1-P16-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:57:48+08:00,full,65536,65536,1,16,1,3,5,10299.88,5.4001,1.501,1.383,2.199,3.119,0,none,,ok,full-rx65536-d65536-c1-P16-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:57:55+08:00,full,65536,65536,4,1,1,1,5,12727.00,6.6726,0.312,0.295,0.543,0.847,0,none,,ok,full-rx65536-d65536-c4-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:58:02+08:00,full,65536,65536,4,1,1,2,5,12290.00,6.4435,0.323,0.303,0.519,0.919,0,none,,ok,full-rx65536-d65536-c4-P1-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:58:09+08:00,full,65536,65536,4,1,1,3,5,12822.00,6.7224,0.309,0.287,0.551,0.807,0,none,,ok,full-rx65536-d65536-c4-P1-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:58:17+08:00,full,65536,65536,4,16,1,1,5,11287.34,5.9178,5.670,5.279,7.871,10.463,0,none,,ok,full-rx65536-d65536-c4-P16-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:58:24+08:00,full,65536,65536,4,16,1,2,5,11238.40,5.8922,5.696,5.279,7.927,10.703,0,none,,ok,full-rx65536-d65536-c4-P16-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:58:31+08:00,full,65536,65536,4,16,1,3,5,11571.20,6.0666,5.528,5.255,6.815,9.031,0,none,,ok,full-rx65536-d65536-c4-P16-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:58:38+08:00,full,65536,262144,1,1,1,1,5,2852.20,5.9815,0.348,0.327,0.431,0.719,0,none,,ok,full-rx65536-d262144-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:58:45+08:00,full,65536,262144,1,1,1,2,5,2872.40,6.0239,0.346,0.327,0.439,0.663,0,none,,ok,full-rx65536-d262144-c1-P1-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:58:52+08:00,full,65536,262144,1,1,1,3,5,2813.40,5.9001,0.353,0.327,0.479,0.719,0,none,,ok,full-rx65536-d262144-c1-P1-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:58:59+08:00,full,65536,262144,1,16,1,1,5,3040.16,6.3757,5.223,5.079,5.975,7.791,0,none,,ok,full-rx65536-d262144-c1-P16-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:59:07+08:00,full,65536,262144,1,16,1,2,5,2869.83,6.0185,5.532,5.191,7.263,10.167,0,none,,ok,full-rx65536-d262144-c1-P16-r2
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:59:14+08:00,full,65536,262144,1,16,1,3,5,2987.60,6.2655,5.318,5.135,6.271,7.567,0,none,,ok,full-rx65536-d262144-c1-P16-r3
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:59:21+08:00,full,65536,262144,4,1,1,1,5,2712.20,5.6879,1.472,1.311,2.543,2.991,0,none,,ok,full-rx65536-d262144-c4-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:59:28+08:00,full,65536,262144,4,1,1,2,5,2779.80,5.8297,1.436,1.295,2.479,2.887,0,89884:M 26 Aug 2026 21:59:28.391 # === ASSERTION FAILED ===,,cli_fail,full-rx65536-d262144-c4-P1-r2
