rx_size,phase_index,value_size,n,mean_rps,mean_payload_gbps,mean_p50_us,mean_reannounces_per_gib,mean_stall_ratio
16777216,0,4096,2,228840.658,7.498651,235.000,63.874266,0.002069
16777216,1,65536,2,21419.105,11.229780,2827.000,64.012629,0.024070
16777216,2,1048576,2,794.144,6.661766,79487.000,63.997070,0.143836
16777216,3,4194304,2,150.933,5.064481,415487.000,63.999268,0.165094
16777216,4,65536,2,20952.639,10.985217,2895.000,64.012968,0.024531
16777216,5,4096,2,229909.223,7.533665,235.000,63.994533,0.002076
