phase_index,value_size,duration,measured_sec,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
0,4096,20,20.259000,4616656,227881.732,7.467229,270.533,239.000,735.000,0,0,19117307472,1137,162558000,1137,63.860690,0.002006
1,65536,20,20.291000,430048,21194.027,11.111774,2915.218,2855.000,4911.000,0,0,28203407936,1681,1948225000,1681,63.997940,0.024004
2,1048576,30,30.450000,25968,852.808,7.153871,73860.017,73535.000,99903.000,0,0,27230668032,1623,15453242000,1623,63.997070,0.126874
3,4194304,30,30.292000,4736,156.345,5.246065,403780.000,400895.000,477183.000,0,0,19864451072,1184,19668808000,1184,63.999268,0.162327
4,65536,30,30.314000,638384,21059.049,11.041006,2945.254,2879.000,5071.000,0,0,41866499488,2497,2992953000,2497,64.040065,0.024683
5,4096,60,61.212000,13768032,224923.740,7.370301,271.748,239.000,727.000,0,0,57013420512,3397,500744000,3397,63.976182,0.002045
