git_commit,timestamp,mode,rx_size,value_size,clients,pipeline,threads,repetition,duration,rps,payload_gbps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,exit_status,server_error,bench_error,verify_strlen,raw_file
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:48:04+08:00,smoke,65536,65535,1,1,1,1,2,7246.00,3.7989,0.135,0.119,0.215,0.479,0,none,,ok,smoke-rx65536-d65535-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:48:07+08:00,smoke,65536,65536,1,1,1,1,2,7805.00,4.0921,0.125,0.119,0.183,0.455,0,none,,ok,smoke-rx65536-d65536-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:48:10+08:00,smoke,65536,65537,1,1,1,1,2,8172.00,4.2845,0.120,0.111,0.175,0.431,0,none,,ok,smoke-rx65536-d65537-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:48:13+08:00,smoke,1048576,1048575,1,1,1,1,2,670.66,5.6259,1.484,1.375,2.199,2.623,0,none,,ok,smoke-rx1048576-d1048575-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:48:16+08:00,smoke,1048576,1048576,1,1,1,1,2,597.20,5.0097,1.668,1.599,2.407,2.735,0,none,,ok,smoke-rx1048576-d1048576-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:48:20+08:00,smoke,1048576,1048577,1,1,1,1,2,647.00,5.4274,1.540,1.399,2.343,3.047,0,none,,ok,smoke-rx1048576-d1048577-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:48:23+08:00,smoke,4194304,4194303,1,1,1,1,2,175.15,5.8771,5.719,5.559,7.231,8.087,0,none,,ok,smoke-rx4194304-d4194303-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:48:26+08:00,smoke,4194304,4194304,1,1,1,1,2,190.52,6.3928,5.253,5.119,6.247,7.039,0,none,,ok,smoke-rx4194304-d4194304-c1-P1-r1
09bd347803ee1a7b2713dd9ac414276ea01718c6,2026-08-26T21:48:30+08:00,smoke,4194304,4194305,1,1,1,1,2,189.12,6.3458,5.290,5.095,6.687,9.607,0,none,,ok,smoke-rx4194304-d4194305-c1-P1-r1
