commit,run_id,phase_index,value_size,duration,clients,pipeline,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
7bf7daa53046cd3853574786c896da70c8b23296,20260828-180504,0,4096,20.258000,4,16,4606512,227392.240,7.451189,267.187,231.000,735.000,0,0,19075301168,18187,2518869000,18191,1023.964830,0.031085
7bf7daa53046cd3853574786c896da70c8b23296,20260828-180504,1,65536,20.431000,4,16,294560,14417.307,7.558821,4304.787,4191.000,8471.000,0,0,19317833920,18421,16975131000,18422,1023.948749,0.207713
7bf7daa53046cd3853574786c896da70c8b23296,20260828-180504,2,1048576,30.264000,4,16,17936,592.651,4.971520,106931.590,104639.000,157055.000,0,0,18808120064,17937,22396217000,17937,1024.010216,0.185007
7bf7daa53046cd3853574786c896da70c8b23296,20260828-180504,3,4194304,30.402000,4,16,3856,126.834,4.255835,495160.166,496127.000,626175.000,0,0,16173421312,15424,21329663000,15424,1023.988281,0.175397
7bf7daa53046cd3853574786c896da70c8b23296,20260828-180504,4,65536,30.289000,4,16,397728,13131.104,6.884480,4781.228,4695.000,8567.000,0,0,26083797696,24873,24906275000,24874,1023.940396,0.205572
