git_commit,timestamp,mode,rx_size,value_size,clients,pipeline,threads,repetition,duration,rps,payload_gbps,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,exit_status,server_error,bench_error,verify_strlen,raw_file
99cb271d5ae27061bb6daeebe5bfd0fc5104d5b9,2026-08-27T14:06:00+08:00,smoke,65536,65535,1,1,1,1,2,6190.00,3.2453,0.157,0.135,0.311,0.567,0,none,,ok,smoke-rx65536-d65535-c1-P1-r1
99cb271d5ae27061bb6daeebe5bfd0fc5104d5b9,2026-08-27T14:06:03+08:00,smoke,65536,65536,1,1,1,1,2,6780.50,3.5549,0.144,0.127,0.247,0.511,0,none,,ok,smoke-rx65536-d65536-c1-P1-r1
99cb271d5ae27061bb6daeebe5bfd0fc5104d5b9,2026-08-27T14:06:06+08:00,smoke,65536,65537,1,1,1,1,2,5625.00,2.9492,0.173,0.151,0.359,0.607,0,none,,ok,smoke-rx65536-d65537-c1-P1-r1
99cb271d5ae27061bb6daeebe5bfd0fc5104d5b9,2026-08-27T14:06:10+08:00,smoke,1048576,1048575,1,1,1,1,2,675.66,5.6678,1.475,1.415,2.055,2.311,0,none,,ok,smoke-rx1048576-d1048575-c1-P1-r1
99cb271d5ae27061bb6daeebe5bfd0fc5104d5b9,2026-08-27T14:06:13+08:00,smoke,1048576,1048576,1,1,1,1,2,634.18,5.3199,1.570,1.463,2.359,2.935,0,none,,ok,smoke-rx1048576-d1048576-c1-P1-r1
99cb271d5ae27061bb6daeebe5bfd0fc5104d5b9,2026-08-27T14:06:16+08:00,smoke,1048576,1048577,1,1,1,1,2,682.16,5.7224,1.461,1.343,2.223,2.751,0,none,,ok,smoke-rx1048576-d1048577-c1-P1-r1
99cb271d5ae27061bb6daeebe5bfd0fc5104d5b9,2026-08-27T14:06:20+08:00,smoke,4194304,4194303,1,1,1,1,2,180.64,6.0613,5.544,5.439,6.703,7.215,0,none,,ok,smoke-rx4194304-d4194303-c1-P1-r1
99cb271d5ae27061bb6daeebe5bfd0fc5104d5b9,2026-08-27T14:06:23+08:00,smoke,4194304,4194304,1,1,1,1,2,158.03,5.3026,6.331,6.135,8.063,9.903,0,none,,ok,smoke-rx4194304-d4194304-c1-P1-r1
99cb271d5ae27061bb6daeebe5bfd0fc5104d5b9,2026-08-27T14:06:26+08:00,smoke,4194304,4194305,1,1,1,1,2,170.24,5.7123,5.879,5.607,7.711,9.079,0,none,,ok,smoke-rx4194304-d4194305-c1-P1-r1
