commit,run_id,phase_index,value_size,duration,clients,pipeline,requests,rps,payload_gbps,avg_latency_us,p50_latency_us,p99_latency_us,reconnects,errors,tx_bytes,tx_wait_count,tx_wait_ns,rx_reannounce,reannounces_per_gib,stall_ratio
7bf7daa53046cd3853574786c896da70c8b23296,20260828-181409,0,32,2.252000,2,2,397782,176634.991,0.045219,17.478,15.000,47.000,0,0,29833350,28,489000,28,1007.757127,0.000109
7bf7daa53046cd3853574786c896da70c8b23296,20260828-181409,1,64,2.252000,2,2,428476,190264.654,0.097416,15.946,15.000,39.000,0,0,45846932,43,640000,44,1030.486408,0.000142
7bf7daa53046cd3853574786c896da70c8b23296,20260828-181409,2,32,2.251000,2,2,376344,167189.693,0.042801,18.850,23.000,55.000,0,0,28225800,25,477000,26,989.069838,0.000106
